# DeltaF, Fb, t0, u0, tE, rho, Pb, mu_b, sig_b
0.0351117 0.195028 8011.14 1.33921 330.991 0.0013491 0.844336 0.43225 0.412282
0.759652 0.229204 7884.16 0.268894 33.4747 0.013052 0.507673 0.212394 0.100914
0.687181 0.202118 7883.12 0.224962 54.644 0.0396611 0.657624 0.210901 0.112896
0.686686 0.240293 7883.74 0.354534 30.2376 0.00178672 0.556455 0.203211 0.103623
0.762234 0.224047 7883.59 0.156357 50.03 0.00433163 0.521889 0.197039 0.0971684
0.759576 0.218238 7884.19 0.243896 37.7367 0.0113552 0.543896 0.207467 0.100787
0.734607 0.22637 7884.21 0.355904 28.9015 0.00638962 0.540651 0.213234 0.102812
0.167293 0.141487 7229.21 0.872727 221.888 0.00846192 0.894226 0.773971 0.502572
0.795423 0.230854 7884.32 0.177535 43.3345 0.000249854 0.50321 0.20827 0.0995255
0.731848 0.227116 7884.05 0.32535 31.2141 0.00616841 0.520043 0.210442 0.102235
0.742568 0.229037 7884.27 0.293412 32.8175 0.00762984 0.507409 0.210523 0.100657
0.743217 0.227236 7884.1 0.283437 33.1331 0.00876742 0.511398 0.210199 0.102926
0.824684 0.201682 7883.16 0.301307 31.8905 0.0115352 0.387604 0.245821 0.106628
0.74663 0.216408 7884.35 0.51367 22.5666 0.0402434 0.504601 0.212802 0.0970361
0.800505 0.224901 7884.44 0.155501 48.9307 0.013304 0.549721 0.203438 0.104408
0.740464 0.231607 7884.03 0.265083 35.2364 0.011883 0.518575 0.207401 0.0998993
0.805934 0.230365 7884.37 0.175657 41.7061 0.00947142 0.536785 0.203785 0.102849
0.756129 0.229901 7884.31 0.297042 31.8602 0.050883 0.517727 0.207369 0.10132
0.742481 0.230513 7884.31 0.443309 24.2485 0.0149314 0.535116 0.213217 0.10192
0.760187 0.230025 7884.15 0.288187 32.1064 0.0508083 0.542231 0.210454 0.101651
0.766345 0.226987 7884.34 0.219425 38.7689 0.0331723 0.528974 0.210743 0.103022
0.781943 0.22531 7884.34 0.203323 40.0972 0.00742291 0.541126 0.210593 0.101377
0.750696 0.225918 7884.02 0.295505 32.6842 0.049596 0.532821 0.211638 0.102907
0.710913 0.208035 7881.58 0.378793 36.5019 0.0183537 0.446523 0.226277 0.10083
0.709419 0.224342 7882.02 0.274718 36.3774 0.00705115 0.530464 0.217722 0.117905
0.734063 0.23024 7884 0.296066 32.8577 0.00144676 0.511676 0.204863 0.100977
0.748807 0.230793 7883.75 0.175932 48.8514 1.3877e-05 0.494902 0.214103 0.0973563
0.747925 0.229129 7884.18 0.296878 32.256 0.0522204 0.539825 0.208475 0.101329
0.70656 0.233226 7883.81 0.318503 32.0261 0.00506077 0.465825 0.20559 0.0976841
0.738557 0.226986 7884.03 0.337993 30.4685 0.0372136 0.501444 0.212622 0.10182
0.746165 0.230718 7884.29 0.28109 33.7108 0.0480944 0.52895 0.208491 0.100593
0.75636 0.228801 7884.21 0.265956 34.3777 0.00356443 0.542125 0.208949 0.100694
0.769291 0.223593 7884.34 0.26636 33.7758 0.00801953 0.515589 0.21321 0.10211
0.732144 0.225144 7884.29 0.301963 32.9057 0.000334009 0.495401 0.217419 0.10044
0.739486 0.228899 7883.96 0.248356 35.8023 0.00538123 0.511993 0.212431 0.101685
0.743998 0.229275 7884.07 0.29078 32.9368 0.0487023 0.537371 0.210421 0.101404
0.750657 0.22736 7884.26 0.294517 32.3778 0.00544359 0.510796 0.212615 0.101414
0.7575 0.226842 7884.19 0.2868 32.7632 0.0491499 0.519429 0.211625 0.103407
0.748303 0.227697 7884.32 0.295379 32.0786 0.00112498 0.536998 0.211008 0.102024
0.786749 0.229381 7884.28 0.226772 36.4142 0.00651601 0.548763 0.208385 0.105006
