#  DeltaF, Fb, t0, u0, tE, rho
# 
9.581030000000000380e-01 2.050410000000000010e-01 7.886510000000000218e+03 1.269789999999999974e+00 7.696620000000000239e+00 1.457460000000000006e-02
9.599609999999999532e-01 2.119050000000000100e-01 7.886270000000000437e+03 1.180590000000000028e+00 7.651679999999999815e+00 3.708089999999999824e-03
9.765059999999999851e-01 2.298370000000000135e-01 7.885779999999999745e+03 9.453019999999999756e-01 8.356059999999999377e+00 8.405289999999999290e-03
9.900170000000000359e-01 2.176839999999999886e-01 7.886550000000000182e+03 7.552780000000000049e-01 1.023799999999999955e+01 3.323539999999999828e-03
9.435130000000000461e-01 2.238330000000000042e-01 7.885920000000000073e+03 1.090950000000000086e+00 7.727739999999999831e+00 4.623599999999999932e-02
9.230530000000000124e-01 2.178140000000000076e-01 7.886210000000000036e+03 1.057590000000000030e+00 8.210509999999999309e+00 2.517789999999999785e-03
9.434460000000000068e-01 2.149669999999999914e-01 7.886149999999999636e+03 7.734760000000000524e-01 1.009299999999999997e+01 5.637269999999999781e-03
9.428600000000000314e-01 2.169770000000000032e-01 7.886489999999999782e+03 1.178269999999999929e+00 7.806659999999999933e+00 4.557880000000000265e-03
8.794130000000000003e-01 2.181530000000000136e-01 7.885899999999999636e+03 1.157450000000000090e+00 7.860289999999999999e+00 1.635039999999999931e-03
9.115590000000000082e-01 2.135670000000000068e-01 7.885810000000000400e+03 1.129440000000000000e+00 8.133929999999999438e+00 4.106349999999999931e-03
8.806439999999999824e-01 2.119179999999999953e-01 7.886340000000000146e+03 6.789359999999999840e-01 1.181099999999999994e+01 4.141569999999999974e-02
9.852290000000000214e-01 2.191390000000000005e-01 7.885649999999999636e+03 1.383620000000000072e+00 6.135130000000000194e+00 3.075829999999999884e-03
9.593129999999999713e-01 2.125380000000000047e-01 7.886100000000000364e+03 1.036089999999999955e+00 8.497130000000000294e+00 1.304920000000000038e-02
8.992959999999999843e-01 2.124729999999999952e-01 7.886149999999999636e+03 1.330570000000000030e+00 7.406719999999999970e+00 6.252319999999999579e-03
9.691290000000000182e-01 2.259770000000000112e-01 7.885880000000000109e+03 5.983159999999999590e-01 1.102389999999999937e+01 2.096009999999999887e-02
9.399180000000000312e-01 2.180779999999999941e-01 7.885529999999999745e+03 1.172900000000000054e+00 7.657140000000000057e+00 6.914149999999999983e-03
9.115590000000000082e-01 2.135670000000000068e-01 7.885810000000000400e+03 1.129440000000000000e+00 8.133929999999999438e+00 4.106349999999999931e-03
9.706380000000000008e-01 2.159719999999999973e-01 7.885479999999999563e+03 9.760609999999999564e-01 8.450290000000000745e+00 5.256249999999999638e-03
9.644070000000000142e-01 2.077869999999999995e-01 7.885550000000000182e+03 8.640320000000000222e-01 9.517609999999999459e+00 2.314149999999999888e-02
9.611570000000000391e-01 2.185819999999999985e-01 7.884930000000000291e+03 8.599449999999999594e-01 8.330420000000000158e+00 1.984479999999999838e-03
9.066400000000000015e-01 2.134850000000000081e-01 7.886310000000000400e+03 1.478259999999999907e+00 6.847789999999999822e+00 1.340569999999999956e-02
9.274510000000000254e-01 2.189280000000000115e-01 7.885779999999999745e+03 1.371129999999999960e+00 6.911190000000000389e+00 5.973370000000000415e-03
9.291939999999999644e-01 2.128899999999999959e-01 7.886279999999999745e+03 9.301129999999999676e-01 9.636309999999999931e+00 1.360639999999999940e-02
9.440830000000000055e-01 2.129199999999999982e-01 7.886270000000000437e+03 5.812000000000000499e-01 1.242179999999999929e+01 7.590659999999999942e-03
9.142059999999999631e-01 2.191950000000000010e-01 7.886189999999999600e+03 5.944430000000000547e-01 1.312930000000000064e+01 1.028150000000000071e-02
9.267149999999999554e-01 2.183440000000000103e-01 7.885970000000000255e+03 1.394230000000000080e+00 6.661019999999999719e+00 2.904380000000000156e-02
9.672300000000000342e-01 2.159470000000000001e-01 7.886470000000000255e+03 1.213950000000000085e+00 7.171280000000000321e+00 1.617889999999999953e-02
9.818390000000000173e-01 2.191089999999999982e-01 7.886180000000000291e+03 1.177329999999999988e+00 7.414550000000000196e+00 5.507009999999999683e-03
8.969610000000000083e-01 2.110160000000000091e-01 7.886210000000000036e+03 1.323830000000000062e+00 7.793210000000000193e+00 1.457379999999999960e-02
9.822279999999999900e-01 2.184250000000000080e-01 7.885430000000000291e+03 7.613490000000000535e-01 9.478469999999999729e+00 2.380919999999999911e-03
8.376909999999999634e-01 2.187020000000000075e-01 7.885630000000000109e+03 6.898309999999999720e-01 1.174319999999999986e+01 1.220889999999999996e-02
8.884480000000000155e-01 2.111409999999999954e-01 7.886359999999999673e+03 1.298049999999999926e+00 7.691349999999999909e+00 2.574579999999999924e-02
9.292120000000000379e-01 2.152560000000000029e-01 7.887069999999999709e+03 9.357529999999999459e-01 9.260849999999999582e+00 4.205109999999999751e-03
9.063379999999999770e-01 2.139749999999999985e-01 7.886039999999999964e+03 1.333150000000000057e+00 6.916319999999999801e+00 1.746630000000000058e-02
9.245729999999999782e-01 2.137680000000000136e-01 7.886340000000000146e+03 9.517830000000000457e-01 9.300910000000000011e+00 9.410609999999999808e-03
8.769040000000000168e-01 2.188869999999999982e-01 7.886420000000000073e+03 8.228210000000000246e-01 9.858570000000000277e+00 1.836240000000000094e-02
8.923470000000000013e-01 2.138960000000000028e-01 7.886250000000000000e+03 1.000250000000000083e+00 9.196030000000000371e+00 6.504529999999999687e-03
9.069099999999999939e-01 2.062199999999999867e-01 7.886170000000000073e+03 1.178509999999999946e+00 7.922690000000000232e+00 6.307740000000000048e-03
8.855650000000000466e-01 2.130730000000000124e-01 7.885109999999999673e+03 1.151159999999999961e+00 7.580530000000000435e+00 1.052619999999999988e-03
8.853959999999999608e-01 2.101190000000000002e-01 7.886640000000000327e+03 1.213300000000000045e+00 7.900559999999999583e+00 9.389180000000000442e-03
8.996720000000000272e-01 2.180979999999999863e-01 7.885729999999999563e+03 1.260829999999999895e+00 7.227459999999999773e+00 1.247159999999999979e-03
9.694369999999999932e-01 2.151530000000000109e-01 7.886000000000000000e+03 1.361799999999999899e+00 6.842830000000000190e+00 1.932439999999999896e-03
8.547050000000000480e-01 2.127130000000000132e-01 7.886119999999999891e+03 1.465780000000000083e+00 7.249819999999999709e+00 6.168579999999999897e-03
8.853590000000000071e-01 2.193350000000000022e-01 7.886579999999999927e+03 1.096780000000000088e+00 8.073969999999999203e+00 7.251760000000000324e-03
9.794289999999999941e-01 2.206120000000000025e-01 7.885939999999999600e+03 3.973820000000000130e-01 1.512870000000000026e+01 4.359889999999999946e-03
9.321220000000000061e-01 2.104640000000000122e-01 7.885720000000000255e+03 7.957250000000000156e-01 1.050779999999999959e+01 2.261099999999999915e-02
9.287170000000000147e-01 2.120370000000000033e-01 7.886000000000000000e+03 9.758999999999999897e-01 8.953390000000000626e+00 2.426820000000000106e-03
8.892170000000000352e-01 2.197629999999999861e-01 7.886449999999999818e+03 1.438630000000000075e+00 6.898970000000000269e+00 1.338379999999999952e-02
