# DeltaF, Fb, t0, u0, tE, rho
0.990432 0.215388 7886.01 1.4988 6.2245 0.00660107
0.659905 0.20457 7888.26 0.758259 14.4829 0.00463041
0.00101389 0.156936 7250 0.0577787 259.154 0.00127141
0.382656 0.471519 7159.88 0.873727 20.5111 0.0310239
0.990063 0.215542 7886.01 1.49601 6.2368 0.00985724
0.0304599 0.247892 7245.69 0.158716 58.8901 0.0157169
0.91679 0.198563 7887.09 1.41498 7.46257 0.0122506
0.967994 0.213964 7886.03 1.43645 6.48931 0.00936187
0.968158 0.214332 7886.17 1.41158 6.66118 0.0016388
0.97681 0.215426 7886.07 1.47804 6.36413 5.18055e-05
0.177499 0.13834 7262.55 0.685605 67.8 0.00625701
0.987055 0.214495 7886.19 0.60746 11.8161 0.0116146
0.930852 0.214052 7886.58 0.904842 9.42348 0.0040374
0.987937 0.215588 7886.01 1.49989 6.22968 0.012602
0.931 0.213223 7886.01 0.978817 9.41804 0.00679265
0.90951 0.219042 7885.99 1.00089 8.66382 0.011127
0.880543 0.218058 7886.6 1.12654 8.26821 0.0143056
0.959651 0.211638 7886.39 0.721032 10.7433 0.000879462
0.997584 0.219825 7885.07 1.35772 6.07677 0.00391828
0.976234 0.214753 7886.03 1.48895 6.36241 0.016044
0.288291 0.223091 7991.24 0.561575 163.744 0.0278841
0.952547 0.215738 7886.03 1.36252 6.87996 0.000645561
0.990269 0.215322 7886.11 1.13864 7.58561 0.0121195
0.991907 0.221049 7885.7 1.01118 7.75645 0.0108776
0.922982 0.217639 7886.25 1.3187 7.06546 0.0034889
0.209369 0.133485 7744.83 1.22755 188.412 0.010512
0.957158 0.215111 7886.11 1.48632 6.50893 0.0155681
0.986836 0.215582 7886.03 1.45319 6.39493 0.00901308
0.981473 0.214678 7885.96 1.40708 6.55538 0.00868114
0.988399 0.215484 7885.99 1.4187 6.48165 0.00202996
0.985865 0.215572 7886.01 1.49999 6.23502 0.0145316
0.806997 0.219287 7884.57 0.0476491 56.2387 0.00203236
0.974852 0.213651 7886.53 0.975365 8.45055 0.0146898
0.546252 0.226747 7887.03 0.158697 57.969 0.0201355
0.986417 0.215474 7885.99 1.49765 6.23144 0.00331303
0.448681 0.14684 7544.96 1.07126 273.129 0.0151879
0.599463 0.18639 7886.96 0.151272 50.8806 0.0130307
0.987252 0.215614 7885.99 1.49885 6.23158 0.00331155
0.351886 0.236035 7888.72 0.54488 24.0983 0.0104959
0.191462 0.25627 7904.52 0.0538102 176.894 0.000506071
0.985704 0.21558 7886.01 1.4999 6.23545 0.00168822
0.987018 0.215595 7886.01 1.49985 6.23467 0.0125348
0.984434 0.215065 7885.86 0.464688 13.0657 0.000621111
0.560693 0.190269 7885.4 0.709796 16.7771 0.00607087
0.987843 0.215504 7886.01 1.49992 6.23241 0.00341978
0.983808 0.215059 7886.02 1.41606 6.53827 0.00576326
0.922041 0.212813 7885.65 0.995538 9.39506 0.00159886
0.987856 0.215411 7885.99 1.48939 6.25795 0.00230291
0.985639 0.21525 7886 1.49905 6.23629 0.00291722
0.986316 0.215416 7886.01 1.49683 6.24911 0.026905
0.988912 0.215571 7886 1.49971 6.22062 0.00788429
0.996932 0.215853 7886.08 1.4781 6.24893 0.0286404
0.995253 0.214899 7886.01 1.49845 6.24572 0.00284226
0.987185 0.215593 7886 1.49998 6.22678 0.00131775
0.998854 0.214039 7885.85 1.4969 6.23153 0.00947107
0.978978 0.209861 7885.91 1.34432 7.06421 0.024913
0.98493 0.215108 7886.05 1.47173 6.35694 0.00259823
0.990229 0.21546 7886.04 1.49761 6.23828 0.0344848
0.0598195 0.298826 7100.63 0.696275 132.173 0.0086933
0.981391 0.210209 7886.4 0.793141 9.96923 0.0166538
0.480139 0.236225 7905.1 1.10887 21.0918 0.00506425
0.989288 0.215564 7886.01 1.49523 6.23496 0.0158468
0.644197 0.201443 7879.67 0.0694172 52.508 0.00248192
0.323389 0.246107 7281.56 0.314367 1.88342 0.0239374
0.492946 0.182879 7887.04 0.043913 186.805 0.0035123
0.987941 0.21581 7886.01 1.49476 6.22462 0.0145546
0.987215 0.215595 7886.04 1.49996 6.25414 0.000557662
0.986656 0.215599 7885.99 1.49993 6.22761 0.0358839
0.973015 0.215271 7885.91 1.31261 6.91812 0.000359955
0.987214 0.215615 7886.01 1.49964 6.23139 0.00617912
0.995631 0.216078 7886.01 1.49902 6.16867 0.000771401
0.987355 0.215665 7886 1.49981 6.22825 0.00397382
0.991322 0.216597 7886.02 1.49166 6.23131 0.00520726
0.676505 0.225107 7885.84 0.421204 20.5723 0.0129316
0.970336 0.211491 7886.2 1.10688 8.02716 0.00699398
0.99357 0.215949 7885.9 1.48816 6.1214 0.00808049
0.975876 0.210321 7886.31 1.08504 8.08673 0.00033225
0.994791 0.216022 7886 1.48585 6.21181 0.0178789
0.957414 0.214696 7886.63 0.820687 9.49441 0.0421264
0.924806 0.192465 7884.33 0.288154 22.3181 0.0356507
0.827998 0.212102 7886.22 0.407322 15.2794 0.00795555
0.95165 0.226835 7882.39 0.239403 13.5454 0.00339053
0.987397 0.21545 7886.01 1.49993 6.23228 0.00638094
0.369623 0.301268 7632.91 0.0285523 22.8083 0.000529262
0.204834 0.274866 7909.52 1.23883 25.6928 0.0292961
0.989359 0.21561 7886.01 1.49945 6.22678 0.0125817
0.987363 0.215597 7886.01 1.49969 6.23491 0.00122906
0.987297 0.215545 7886.02 1.49635 6.2433 0.00518157
0.995163 0.215203 7886 1.48038 6.26155 0.0456216
0.0724155 0.231401 7591.77 1.48722 229.44 0.0014922
0.987363 0.215594 7886.01 1.49956 6.23156 0.0199718
0.991192 0.215891 7886 1.49581 6.21797 0.0146888
0.977395 0.216222 7886.04 1.49432 6.3008 0.000800826
0.993383 0.215817 7886.02 1.47987 6.28281 0.0058204
0.987385 0.21567 7886.01 1.49955 6.2309 0.0107708
0.983728 0.215583 7886.04 1.49953 6.26449 0.0112306
0.987621 0.215557 7886 1.49969 6.23432 0.0415632
0.984439 0.214311 7886.13 1.22208 7.27893 0.00610328
0.981158 0.213821 7886.09 1.4072 6.67735 0.0272334
0.982889 0.218346 7885.83 1.03914 7.90732 0.00545207
0.975494 0.216056 7886 1.35709 6.73287 0.0304934
0.96272 0.225828 7884.91 0.606759 9.94253 0.0068765
0.978077 0.209364 7885.94 1.33359 6.95997 0.0296556
0.986267 0.21554 7886.01 1.48923 6.30896 0.0297729
0.986496 0.21561 7886 1.49282 6.25291 0.0336293
0.960739 0.21542 7886.05 1.28171 7.11094 0.0053426
0.985495 0.215612 7886.01 1.49929 6.24013 0.00515413
0.988766 0.215629 7886.01 1.49721 6.23091 0.00287906
0.988711 0.215587 7886.01 1.49963 6.23246 0.0019762
0.990388 0.215556 7886 1.49213 6.23661 0.0159139
0.987056 0.215604 7886.01 1.5 6.23208 0.00104766
0.986775 0.215651 7886.01 1.49949 6.23606 0.00553678
0.978388 0.21527 7886.04 1.49101 6.3223 0.00517144
0.979396 0.215237 7886.02 1.49771 6.27544 0.00940192
0.986005 0.215473 7886 1.49558 6.24196 0.00495717
0.987604 0.215498 7886.02 1.49961 6.23737 0.00705585
0.812389 0.207648 7886.37 1.37176 7.91246 0.0061297
0.988387 0.215918 7886.01 1.49996 6.22292 0.0293196
0.985867 0.217408 7885.98 1.38445 6.53577 0.0010774
0.906411 0.215686 7886.11 1.45133 6.61175 0.0171847
0.514568 0.685489 7848.23 0.637858 265.112 0.0105784
0.863776 0.242419 7886.06 1.21142 7.20449 0.00775404
0.906338 0.213975 7886.04 1.33315 6.91632 0.0174663
0.750316 0.215078 7886.89 1.05047 9.88407 0.0128252
0.124133 0.332433 7609.86 0.342213 335.239 0.00745127
0.98625 0.215375 7886.01 1.49875 6.25043 0.0377443
0.989879 0.215386 7885.8 1.39784 6.41671 0.020353
0.0558303 0.252646 7944.75 0.381908 13.5996 0.00136041
0.99657 0.215941 7886.03 1.48599 6.25624 0.00107127
0.979412 0.223805 7886.02 1.22856 7.31654 0.00177523
0.607022 0.17973 7889.55 0.462994 25.1274 0.00868082
0.463844 0.206601 7894.43 0.573042 28.5436 0.007343
0.964811 0.212899 7885.63 1.19616 7.39427 0.0108275
0.48593 0.210906 7887.13 0.52099 23.708 0.00229675
0.417012 0.210154 7899.33 0.156339 65.5284 0.00474626
0.585293 0.214339 7888.69 0.103732 70.7739 0.00319853
0.988508 0.215568 7886.01 1.49993 6.22683 0.00108104
0.0666782 0.200396 7464.35 0.579385 269.229 0.000688591
0.979528 0.215482 7886.08 1.49887 6.29179 0.0329977
0.983189 0.215336 7886 1.49638 6.25717 0.00295338
0.611681 0.2022 7891 0.589207 16.1735 0.0469437
0.550628 0.160118 7883.44 0.266298 30.2208 0.00874102
0.988804 0.215595 7886.01 1.49825 6.2319 0.0180461
0.837876 0.221063 7884.39 1.32321 5.65503 0.00910934
0.740474 0.216171 7886.84 1.39497 7.91473 0.00382793
0.980427 0.215496 7886.01 1.49136 6.2941 0.00359538
0.334592 0.213832 7888.79 0.557869 17.9751 0.00262725
0.807113 0.206801 7886.49 1.1583 9.17592 0.0315619
0.997617 0.214259 7886.08 1.46569 6.3464 0.0176055
0.921656 0.213009 7885.54 0.946875 8.87987 0.000639688
0.988635 0.216165 7885.99 1.46428 6.26544 0.0144999
0.984842 0.21556 7886.01 1.49967 6.2496 0.0653817
0.0917152 0.199558 8018.7 0.171671 73.1787 0.00389966
0.988429 0.215573 7886 1.49019 6.25713 0.00566078
0.610986 0.214384 7883.5 0.0879999 62.382 0.016931
0.989056 0.215583 7886 1.49985 6.21868 0.00447079
0.98803 0.215633 7886.01 1.49987 6.23103 0.000280798
0.981823 0.215523 7886.06 1.49112 6.3015 0.00348483
0.0773121 0.232917 7354.24 0.201307 238.02 0.000338922
0.988756 0.242484 7124.48 0.423224 0.221111 0.00914357
0.796297 0.208425 7886.42 0.860327 11.0916 0.000525101
0.998524 0.218741 7886.23 1.16413 7.04082 0.00341476
0.986177 0.215598 7886 1.49981 6.23389 0.00292584
0.923517 0.209909 7886.37 1.08754 8.28351 0.00478686
0.917106 0.211512 7886.2 1.09965 8.4119 0.0104379
0.91572 0.215576 7885.57 1.04335 7.76803 0.000300806
0.986591 0.214682 7886.02 1.39818 6.5918 0.0132185
0.985913 0.215601 7886.01 1.49993 6.23742 0.00379816
0.84512 0.212173 7887.8 0.657186 14.1123 0.0120799
0.98006 0.215769 7886.04 1.49677 6.27044 0.00564631
0.988956 0.215862 7886.43 1.25226 7.20181 0.0309433
0.426639 0.270036 7911.89 0.0124981 78.329 0.00278579
0.985538 0.215622 7886.02 1.49916 6.24248 0.0121773
0.987687 0.215692 7886.01 1.49946 6.22962 0.0169936
0.988436 0.2156 7886.01 1.49981 6.22353 0.00143697
0.986649 0.215577 7886.01 1.49959 6.2328 0.0127268
0.8133 0.21758 7886.42 1.45251 7.57163 0.0787813
0.992156 0.215343 7885.94 1.49951 6.19913 0.000576867
0.989343 0.212818 7886.05 0.565755 11.908 0.00414659
0.89337 0.230131 7884.97 0.563279 11.6072 0.00168951
0.98929 0.215581 7886.01 1.49905 6.22997 0.00407381
0.99674 0.215296 7886.01 1.48553 6.22623 0.000160143
0.984103 0.215558 7886.01 1.49897 6.24861 0.00513188
0.991342 0.216011 7885.99 1.47594 6.26508 0.0155769
0.985978 0.215552 7886.01 1.49998 6.23758 0.0161476
