# DeltaF, Fb, t0, u0, tE, rho
0.451491 0.214332 7892.84 1.4997 10.5769 0.00274617
0.452235 0.214315 7892.81 1.49999 10.5608 0.0118896
0.454618 0.21448 7892.9 1.49683 10.5445 0.0118029
0.451613 0.214308 7892.82 1.5 10.5753 0.00864491
0.452496 0.21431 7892.84 1.49969 10.5635 0.0215928
0.452811 0.214292 7892.81 1.49991 10.553 0.00593916
0.452345 0.214252 7892.82 1.49997 10.5631 0.00171929
0.452289 0.214241 7892.83 1.49999 10.5685 0.00680034
0.452425 0.214225 7892.81 1.5 10.5593 0.0090608
0.452447 0.214229 7892.81 1.49999 10.562 0.00268843
0.389185 0.234508 7894.06 0.415617 25.3724 0.00551165
0.452358 0.214263 7892.83 1.49998 10.5656 0.0230714
0.385975 0.195896 7905.92 0.0596881 112.773 0.0238164
0.452501 0.214231 7892.82 1.49999 10.5659 0.0016504
0.452331 0.214284 7892.82 1.49996 10.5656 5.98419e-05
0.81442 0.151898 7870.22 1.30005 97.321 0.000502053
0.433082 0.216198 7893.56 1.4299 11.5919 0.000821725
0.452376 0.214233 7892.8 1.49998 10.5695 0.000562007
0.452348 0.214234 7892.82 1.49994 10.563 0.0201047
0.452443 0.214202 7892.82 1.49994 10.5688 0.000788381
0.452346 0.214235 7892.82 1.49994 10.5666 0.0244477
0.455127 0.213794 7893.99 1.43745 10.6848 0.000245831
0.452571 0.214269 7892.81 1.49995 10.5665 0.00661312
0.4518 0.214259 7892.85 1.49984 10.5726 0.0269866
0.452333 0.214238 7892.83 1.5 10.5589 0.00331543
0.452292 0.214199 7892.84 1.49999 10.5659 0.0188883
0.452234 0.214214 7892.81 1.49903 10.5835 0.0303145
0.452603 0.214247 7892.82 1.49997 10.5569 0.024825
0.452728 0.214238 7892.82 1.49998 10.5618 0.0162693
0.452087 0.214107 7892.87 1.49965 10.5996 0.0015606
0.453857 0.213974 7892.75 1.49967 10.5448 0.00526717
0.451886 0.214408 7892.77 1.4931 10.6195 0.00663471
0.450927 0.21557 7892.55 1.45951 10.5482 0.00943471
0.448881 0.213653 7892.96 1.46351 10.7694 0.00126881
0.452316 0.214237 7892.78 1.49925 10.5592 0.0131668
0.454185 0.214033 7892.65 1.49761 10.5418 0.0096596
0.452834 0.214165 7892.83 1.49995 10.5615 0.0148195
0.4529 0.214213 7892.81 1.49994 10.5685 0.00149365
0.45368 0.214043 7892.82 1.4998 10.5702 0.00134821
0.452533 0.214261 7892.81 1.49999 10.5597 0.00215076
0.431755 0.205609 7892.02 1.0307 13.3383 0.0149543
0.00158653 0.247582 7541.77 1.3635 260.138 0.0118296
0.452303 0.214223 7892.82 1.49992 10.5599 0.0107917
0.0453798 0.241656 7878.22 0.0735852 323.635 0.00859026
0.453223 0.214077 7892.71 1.49172 10.6629 0.026042
0.451242 0.214067 7892.89 1.49903 10.5735 0.00210441
0.44651 0.215747 7893.05 1.20058 12.5675 0.00593739
0.451939 0.214316 7892.7 1.48447 10.5796 0.002139
0.84859 0.243318 7887.03 1.45769 5.95698 0.00857779
0.448942 0.214395 7892.92 1.49168 10.5487 0.0341137
0.459538 0.214987 7892.81 1.44288 10.5401 0.000281186
0.422064 0.261422 7872.55 0.0948799 86.8008 0.0222764
0.452202 0.213932 7892.97 1.49216 10.6439 0.00201002
0.839507 0.225125 7107.56 0.0467775 7.56847 0.00405349
0.45402 0.214236 7892.79 1.4997 10.5399 0.0729214
0.517745 0.217012 7091.84 0.00851785 281.677 0.000212313
0.452575 0.214286 7892.82 1.49995 10.5545 0.00898245
0.452465 0.214219 7892.81 1.49986 10.5667 0.00976621
0.887061 0.262453 7198.59 0.791535 71.8026 0.0119258
0.446058 0.210341 7894.17 1.44449 11.0949 0.0023795
0.428638 0.213892 7893.36 0.673195 21.3767 0.00849401
0.0706878 0.221189 7258.14 0.974299 243.941 0.011941
0.452239 0.214263 7892.83 1.49996 10.5627 0.00236937
0.452762 0.214255 7892.82 1.49997 10.5648 0.00502914
0.451901 0.214306 7892.87 1.49943 10.5572 0.00568065
0.443629 0.21333 7893.31 1.43249 11.1212 0.0109609
0.465024 0.213587 7892.78 1.43256 11.0128 0.0151027
0.45235 0.214218 7892.83 1.49998 10.5626 0.0038343
0.452175 0.214229 7892.82 1.49977 10.5657 0.00906124
0.452548 0.214236 7892.82 1.49991 10.5599 0.000983021
0.449998 0.214717 7892.85 1.49186 10.5809 0.00267888
0.453932 0.214019 7892.81 1.49483 10.5856 0.00854781
0.534581 0.2131 7893.47 0.30014 21.9389 0.0106252
