#  DeltaF, Fb, t0, u0, tE, rho
# 
4.248939999999999939e-01 2.098710000000000020e-01 7.895220000000000255e+03 8.650349999999999984e-01 1.471889999999999965e+01 5.767730000000000426e-03
9.264799999999999702e-01 2.194810000000000094e-01 7.885880000000000109e+03 5.719840000000000479e-01 1.295129999999999981e+01 2.610719999999999968e-04
4.042640000000000122e-01 2.226559999999999928e-01 7.893550000000000182e+03 9.878050000000000441e-01 1.384140000000000015e+01 1.830110000000000027e-03
3.649009999999999754e-01 2.237109999999999932e-01 7.895140000000000327e+03 1.078920000000000101e+00 1.400680000000000014e+01 2.052930000000000033e-02
5.575609999999999733e-01 2.020649999999999946e-01 7.891949999999999818e+03 1.463260000000000005e+00 1.011529999999999951e+01 5.784110000000000293e-03
4.552329999999999988e-01 2.101570000000000105e-01 7.893409999999999854e+03 1.270890000000000075e+00 1.120149999999999935e+01 2.034230000000000066e-02
5.373649999999999816e-01 2.188680000000000070e-01 7.890550000000000182e+03 5.294889999999999874e-01 1.731629999999999825e+01 1.210460000000000062e-04
4.656279999999999863e-01 2.202810000000000046e-01 7.891649999999999636e+03 1.116640000000000077e+00 1.270040000000000013e+01 2.786940000000000120e-04
5.230599999999999694e-01 2.166150000000000020e-01 7.894229999999999563e+03 8.393950000000000022e-01 1.247789999999999999e+01 9.333009999999999223e-03
3.715999999999999859e-01 2.090710000000000068e-01 7.894100000000000364e+03 1.006739999999999968e+00 1.479390000000000072e+01 7.143980000000000675e-05
4.515279999999999849e-01 2.174429999999999974e-01 7.893229999999999563e+03 1.207349999999999923e+00 1.122540000000000049e+01 2.627849999999999978e-02
5.230599999999999694e-01 2.166150000000000020e-01 7.894229999999999563e+03 8.393950000000000022e-01 1.247789999999999999e+01 9.333009999999999223e-03
8.091150000000000286e-01 2.206909999999999983e-01 7.886840000000000146e+03 8.384359999999999591e-01 1.108740000000000059e+01 3.009009999999999897e-03
5.417530000000000401e-01 2.104090000000000127e-01 7.891579999999999927e+03 1.109969999999999901e+00 1.200830000000000020e+01 3.611549999999999830e-03
3.498539999999999983e-01 2.176160000000000039e-01 7.892689999999999600e+03 9.338279999999999914e-01 1.572700000000000031e+01 1.605840000000000089e-03
4.413929999999999798e-01 2.114850000000000063e-01 7.892750000000000000e+03 1.410760000000000014e+00 1.113819999999999943e+01 2.034400000000000010e-03
4.362920000000000131e-01 2.112950000000000106e-01 7.894909999999999854e+03 9.097680000000000211e-01 1.262630000000000052e+01 1.156030000000000078e-02
7.895539999999999781e-01 2.175390000000000101e-01 7.886500000000000000e+03 5.654599999999999627e-01 1.404330000000000034e+01 5.045889999999999924e-03
